Date,Amount,Category,Description,Payment Method
2024-07-23,1228.77,Utilities,Electricity bill,Net Banking
2024-10-24,739.01,Shopping,Mobile accessories,Debit Card
2024-09-05,4998.88,Transport,Uber ride,Net Banking
2024-11-22,2105.29,Travel,Hotel stay,Cash
2024-12-15,3871.8,Health,Gym membership,Debit Card
2025-05-06,2449.71,Travel,Hotel stay,UPI
2024-09-30,1142.89,Travel,Train reservation,Net Banking
2024-12-12,4198.44,Utilities,Water bill,Debit Card
2025-03-29,2161.16,Travel,Train reservation,Credit Card
2025-03-03,310.3,Food,Snacks from 7-Eleven,Debit Card
2024-06-24,1956.53,Entertainment,Movie ticket,Cash
2024-09-24,4405.82,Health,Pharmacy purchase,Credit Card
2024-08-27,2659.31,Others,Charity donation,Net Banking
2024-05-17,3371.14,Shopping,New clothes,Cash
2024-09-10,4361.57,Food,Coffee at Starbucks,UPI
2024-10-25,3957.95,Others,Charity donation,Credit Card
2024-05-29,4290.23,Travel,Flight booking,Credit Card
2025-04-21,4964.8,Food,Snacks from 7-Eleven,Credit Card
2025-05-11,357.36,Transport,Train ticket,Net Banking
2024-07-31,3138.49,Others,Random expense,Debit Card
2025-04-21,434.04,Education,Learning app subscription,Credit Card
2025-04-05,1009.26,Health,Doctor visit,Net Banking
2024-06-13,2255.13,Education,Tuition fee,Credit Card
2024-11-25,145.52,Entertainment,Spotify subscription,Cash
2024-10-01,650.91,Food,Dinner at KFC,Debit Card
2024-10-04,2279.83,Health,Health insurance,UPI
2025-02-05,2772.98,Travel,Flight booking,Cash
2024-12-02,92.09,Health,Medical test,Credit Card
2025-03-02,2227.68,Travel,Hotel stay,Net Banking
2025-04-27,1650.02,Travel,Travel insurance,Credit Card
2024-07-30,880.64,Travel,Hotel stay,Cash
2024-10-03,1037.82,Health,Gym membership,Credit Card
2025-02-23,4007.37,Entertainment,Game purchase,UPI
2024-06-15,1544.9,Transport,Uber ride,UPI
2024-10-31,423.8,Travel,Cab from airport,Cash
2024-12-04,4613.11,Transport,Bus fare,Credit Card
2025-04-19,3201.83,Food,Coffee at Starbucks,Net Banking
2024-06-09,3236.43,Health,Health insurance,Cash
2024-08-21,3366.91,Utilities,Mobile bill,Credit Card
2024-06-28,3049.43,Transport,Train ticket,Debit Card
2024-08-28,4282.16,Utilities,Water bill,Debit Card
2025-01-31,2601.25,Transport,Car maintenance,Cash
2024-11-05,4729.68,Health,Medical test,Cash
2024-09-26,4232.26,Food,Lunch at Subway,Credit Card
2025-01-05,3849.75,Travel,Hotel stay,Credit Card
2024-12-07,4727.55,Health,Medical test,Debit Card
2024-06-30,3799.67,Shopping,Gift shopping,Net Banking
2025-02-12,3633.92,Travel,Hotel stay,Net Banking
2024-05-31,1242.88,Travel,Train reservation,Debit Card
2025-01-05,4944.63,Education,Exam registration,UPI
2024-11-15,1126.53,Transport,Gas refill,Credit Card
2024-06-30,2980.76,Health,Medical test,Credit Card
2024-07-23,3002.55,Travel,Train reservation,UPI
2025-01-25,2067.96,Transport,Gas refill,Debit Card
2024-08-07,3293.96,Food,Snacks from 7-Eleven,Net Banking
2024-07-24,1990.27,Food,Coffee at Starbucks,UPI
2024-09-26,1377.77,Health,Gym membership,Debit Card
2025-05-09,2108.71,Shopping,Bought shoes,Credit Card
2024-05-18,2663.45,Education,Online course,Cash
2024-06-27,4496.12,Others,Random expense,Debit Card
2024-10-22,3039.5,Others,Laundry,Net Banking
2024-10-15,1332.31,Utilities,Water bill,Debit Card
2025-04-16,870.77,Health,Health insurance,Cash
2024-09-21,2116.14,Others,Stationery,Credit Card
2024-06-02,135.11,Others,Charity donation,UPI
2024-12-04,4692.09,Education,Learning app subscription,Credit Card
2025-03-13,1384.87,Travel,Train reservation,Debit Card
2024-06-29,4927.7,Shopping,Gift shopping,UPI
2024-08-22,1473.84,Food,Coffee at Starbucks,Net Banking
2024-06-19,1191.04,Others,Random expense,Cash
2024-12-14,1642.3,Others,Laundry,UPI
2024-05-27,4324.14,Health,Pharmacy purchase,Cash
2025-01-25,1712.5,Entertainment,Concert ticket,Cash
2024-12-24,3460.57,Food,Lunch at Subway,Credit Card
2025-04-05,884.62,Health,Health insurance,Credit Card
2024-09-18,1777.89,Health,Pharmacy purchase,Net Banking
2025-03-02,813.43,Utilities,Internet recharge,Debit Card
2024-07-07,2550.06,Transport,Car maintenance,Credit Card
2024-11-25,2257.41,Transport,Uber ride,Debit Card
2025-01-17,3388.17,Utilities,Electricity bill,UPI
2024-06-10,3616.11,Health,Pharmacy purchase,Cash
2025-01-28,2555.97,Entertainment,Spotify subscription,Credit Card
2024-12-22,2045.29,Others,Laundry,Credit Card
2024-07-25,2088.48,Utilities,Electricity bill,Net Banking
2025-02-28,173.5,Transport,Train ticket,Credit Card
2025-05-09,3074.72,Others,Laundry,Cash
2024-06-12,4008.62,Entertainment,Spotify subscription,Credit Card
2024-11-17,4993.46,Transport,Gas refill,Net Banking
2024-08-07,4703.79,Education,Learning app subscription,Credit Card
2024-06-09,4416.79,Shopping,Bought shoes,Debit Card
2024-12-10,776.72,Transport,Train ticket,Net Banking
2024-05-20,4528.82,Travel,Train reservation,Debit Card
2025-04-12,1959.9,Shopping,New clothes,UPI
2024-09-23,1489.45,Travel,Train reservation,Debit Card
2024-11-05,719.48,Entertainment,Movie ticket,Debit Card
2024-05-14,4375.99,Entertainment,Game purchase,Net Banking
2024-07-12,3150.04,Shopping,New clothes,Credit Card
2024-09-24,631.68,Entertainment,Netflix subscription,Credit Card
2024-06-19,828.49,Food,Groceries from Walmart,UPI
2024-10-02,3241.65,Education,Exam registration,Debit Card
2024-10-26,583.34,Utilities,Mobile bill,Net Banking
2024-09-20,3639.58,Education,Online course,UPI
2025-01-31,3629.53,Health,Doctor visit,UPI
2025-05-05,2083.52,Transport,Bus fare,UPI
2025-02-27,74.61,Shopping,New clothes,UPI
2025-03-19,4277.7,Others,Pet food,Debit Card
2025-04-30,2497.76,Others,Stationery,Debit Card
2025-01-19,4415.5,Education,Book purchase,Credit Card
2025-02-15,2976.65,Entertainment,Concert ticket,UPI
2024-07-07,98.89,Transport,Bus fare,Debit Card
2024-12-28,1986.88,Transport,Bus fare,Cash
2024-11-26,2042.04,Travel,Cab from airport,Net Banking
2025-04-14,4427.87,Others,Charity donation,Net Banking
2024-10-22,2236.45,Food,Coffee at Starbucks,Net Banking
2025-04-15,320.32,Food,Groceries from Walmart,Net Banking
2024-10-01,3734.92,Travel,Cab from airport,Cash
2024-07-11,3494.0,Education,Exam registration,Net Banking
2025-04-28,4736.92,Travel,Train reservation,Cash
2024-12-20,1633.34,Travel,Travel insurance,Cash
2024-12-30,3591.7,Health,Gym membership,Debit Card
2025-03-05,4722.09,Others,Pet food,Cash
2024-10-06,3390.26,Travel,Travel insurance,UPI
2024-07-23,4796.35,Shopping,Gift shopping,Net Banking
2024-05-24,3644.84,Food,Snacks from 7-Eleven,Credit Card
2025-01-21,4052.9,Health,Doctor visit,Cash
2025-02-28,893.23,Utilities,Electricity bill,Cash
2025-02-17,4982.2,Food,Snacks from 7-Eleven,Net Banking
2025-02-19,3080.01,Entertainment,Spotify subscription,UPI
2025-04-10,230.77,Entertainment,Concert ticket,Debit Card
2025-01-20,3282.43,Transport,Bus fare,UPI
2024-06-17,1155.88,Food,Snacks from 7-Eleven,Debit Card
2024-12-14,228.13,Others,Random expense,Net Banking
2024-05-22,1547.0,Travel,Flight booking,Debit Card
2024-05-29,995.43,Utilities,Mobile bill,UPI
2024-07-28,2397.92,Shopping,New clothes,Credit Card
2024-10-27,1361.53,Travel,Travel insurance,Credit Card
2024-10-08,3100.39,Others,Stationery,Debit Card
2024-12-20,2818.86,Food,Coffee at Starbucks,Net Banking
2024-06-09,648.54,Utilities,Internet recharge,Net Banking
2024-08-31,2621.81,Travel,Hotel stay,Credit Card
2024-12-17,1937.53,Others,Charity donation,UPI
2025-03-08,72.26,Others,Random expense,Net Banking
2024-06-13,1913.71,Travel,Travel insurance,UPI
2024-07-25,3332.34,Transport,Uber ride,Cash
2025-02-03,733.11,Utilities,Mobile bill,Cash
2024-06-11,4694.37,Health,Health insurance,Cash
2025-04-02,3162.32,Utilities,Water bill,Cash
2024-08-11,1237.27,Health,Health insurance,Debit Card
2025-01-08,3998.82,Food,Lunch at Subway,Debit Card
2024-06-11,2010.55,Travel,Flight booking,Net Banking
2024-11-09,407.06,Food,Groceries from Walmart,UPI
2025-03-08,3578.48,Shopping,New clothes,Cash
2025-01-12,2080.67,Others,Laundry,Debit Card
2025-01-19,1847.25,Education,Book purchase,Cash
2024-12-06,133.02,Health,Doctor visit,Debit Card
2024-07-15,4354.25,Others,Laundry,Credit Card
2024-12-05,1685.39,Health,Pharmacy purchase,Cash
2024-06-16,3956.32,Others,Random expense,UPI
2024-11-20,927.36,Health,Gym membership,UPI
2025-05-01,300.91,Entertainment,Spotify subscription,Net Banking
2025-04-20,3703.84,Utilities,Water bill,Credit Card
2024-08-17,4702.04,Shopping,Gift shopping,Credit Card
2024-06-07,3382.9,Food,Lunch at Subway,Net Banking
2025-02-28,1797.37,Others,Random expense,Net Banking
2024-07-26,3932.18,Entertainment,Spotify subscription,Credit Card
2024-10-16,4781.82,Transport,Gas refill,UPI
2025-03-06,2367.16,Travel,Cab from airport,UPI
2024-06-14,268.67,Utilities,Internet recharge,UPI
2025-02-06,2416.79,Health,Pharmacy purchase,Net Banking
2024-07-23,3875.85,Food,Groceries from Walmart,Net Banking
2024-05-24,773.02,Shopping,Mobile accessories,Net Banking
2025-01-16,2974.94,Food,Snacks from 7-Eleven,Net Banking
2025-02-08,2462.77,Entertainment,Netflix subscription,UPI
2024-09-06,769.94,Travel,Hotel stay,Net Banking
2025-03-31,1200.24,Utilities,Mobile bill,Cash
2025-02-14,4686.5,Shopping,Bought shoes,Debit Card
2025-01-17,1644.49,Travel,Hotel stay,Net Banking
2024-06-14,3713.33,Health,Medical test,Credit Card
2024-06-15,3501.76,Others,Charity donation,Credit Card
2024-08-26,2275.73,Others,Stationery,Net Banking
2024-09-10,3927.5,Entertainment,Netflix subscription,Credit Card
2024-11-28,4265.67,Others,Pet food,Net Banking
2024-08-18,2266.99,Transport,Train ticket,UPI
2025-04-13,2843.04,Entertainment,Game purchase,Credit Card
2025-02-27,4786.58,Health,Pharmacy purchase,UPI
2024-10-04,3915.14,Entertainment,Spotify subscription,Credit Card
2025-03-01,2323.49,Others,Pet food,Cash
2025-02-17,1910.39,Shopping,Bought shoes,Credit Card
2024-05-25,4894.14,Food,Coffee at Starbucks,Credit Card
2024-11-15,4271.82,Transport,Bus fare,Credit Card
2024-09-30,4746.56,Others,Pet food,Cash
2025-05-11,4270.91,Education,Book purchase,Net Banking
2025-04-25,1246.89,Travel,Travel insurance,Credit Card
2025-04-27,4387.09,Entertainment,Spotify subscription,Cash
2024-10-28,1075.3,Others,Charity donation,Debit Card
2024-09-05,2094.8,Shopping,Amazon order,UPI
2025-01-16,3276.28,Food,Snacks from 7-Eleven,Cash
2024-12-05,1845.03,Entertainment,Netflix subscription,Net Banking
2024-07-25,436.06,Others,Pet food,Credit Card
2024-11-11,4219.81,Entertainment,Movie ticket,UPI
2024-09-01,3766.2,Others,Pet food,Net Banking
2024-06-30,331.2,Shopping,Mobile accessories,UPI
2025-02-11,941.5,Food,Lunch at Subway,UPI
2024-07-18,3660.57,Utilities,Mobile bill,Debit Card
2024-10-09,4537.82,Shopping,Gift shopping,Credit Card
2024-07-09,3570.29,Travel,Train reservation,Cash
2025-02-16,1871.39,Utilities,Electricity bill,UPI
2024-09-30,4857.11,Shopping,Bought shoes,UPI
2025-04-14,346.31,Transport,Bus fare,Debit Card
2024-08-20,4875.14,Utilities,Gas bill,UPI
2024-12-31,4850.34,Health,Doctor visit,Cash
2025-04-09,2042.23,Others,Random expense,Net Banking
2024-11-09,4854.76,Education,Exam registration,UPI
2024-07-03,2952.06,Education,Learning app subscription,Credit Card
2024-05-19,1929.54,Travel,Cab from airport,Cash
2024-10-19,221.56,Health,Medical test,Debit Card
2024-11-28,3297.76,Entertainment,Concert ticket,Debit Card
2025-02-13,1351.42,Education,Tuition fee,Debit Card
2024-07-27,4529.93,Travel,Hotel stay,Credit Card
2024-10-21,2500.8,Health,Doctor visit,Net Banking
2025-03-02,3826.73,Shopping,New clothes,Net Banking
2024-08-31,1224.88,Utilities,Electricity bill,Debit Card
2025-04-26,4683.17,Utilities,Electricity bill,Debit Card
2024-08-31,4857.54,Utilities,Mobile bill,Credit Card
2024-09-14,3056.73,Others,Pet food,Credit Card
2024-11-04,2433.94,Utilities,Mobile bill,Debit Card
2024-12-05,3991.72,Utilities,Water bill,UPI
2024-12-31,4145.47,Travel,Hotel stay,Net Banking
2025-04-02,1036.72,Transport,Bus fare,Credit Card
2024-08-14,3923.26,Transport,Uber ride,Cash
2024-06-01,4103.23,Education,Tuition fee,Net Banking
2025-04-03,3768.89,Education,Tuition fee,UPI
2025-03-22,3816.8,Food,Snacks from 7-Eleven,Credit Card
2025-03-20,2354.69,Transport,Gas refill,UPI
2024-08-04,2149.64,Food,Lunch at Subway,Debit Card
2025-02-14,1488.36,Utilities,Water bill,Debit Card
2024-06-20,1238.04,Transport,Bus fare,UPI
2024-08-31,307.84,Shopping,Gift shopping,UPI
2024-09-12,798.38,Food,Lunch at Subway,Debit Card
2025-04-16,3882.42,Entertainment,Netflix subscription,Debit Card
2024-11-30,2031.18,Food,Dinner at KFC,Net Banking
2025-04-09,2909.9,Food,Lunch at Subway,Cash
2024-06-27,4405.43,Utilities,Electricity bill,Debit Card
2024-05-12,4329.82,Utilities,Internet recharge,Credit Card
2024-10-02,3544.7,Utilities,Internet recharge,Credit Card
2024-12-29,1883.68,Health,Gym membership,Debit Card
2024-09-01,4052.82,Transport,Uber ride,UPI
2025-04-24,859.12,Health,Medical test,UPI
2024-10-09,4286.77,Utilities,Electricity bill,Net Banking
2024-08-19,1043.39,Food,Coffee at Starbucks,UPI
2025-01-30,2389.64,Entertainment,Netflix subscription,Credit Card
2024-11-22,4390.76,Shopping,Bought shoes,Cash
2024-08-02,2308.16,Education,Exam registration,Debit Card
2024-06-21,537.39,Utilities,Mobile bill,Net Banking
2024-09-01,3907.33,Food,Groceries from Walmart,UPI
2025-01-04,427.64,Food,Coffee at Starbucks,Cash
2024-05-18,4558.1,Transport,Car maintenance,UPI
2024-09-16,2164.17,Utilities,Mobile bill,Debit Card
2024-09-22,297.14,Utilities,Electricity bill,Credit Card
2024-12-18,2265.56,Transport,Uber ride,Credit Card
2025-01-12,541.42,Others,Pet food,Net Banking
2025-04-29,1190.19,Transport,Car maintenance,Debit Card
2024-08-19,4431.28,Others,Random expense,Cash
2024-09-23,3091.05,Others,Laundry,UPI
2025-05-06,3350.57,Shopping,Gift shopping,Cash
2024-12-04,1203.68,Education,Book purchase,Credit Card
2024-07-09,4976.05,Education,Learning app subscription,UPI
2025-02-01,1160.25,Entertainment,Concert ticket,UPI
2024-09-06,1606.03,Entertainment,Concert ticket,Cash
2024-11-05,3821.03,Transport,Gas refill,Cash
2025-01-07,4435.24,Others,Charity donation,Debit Card
2024-07-01,3798.69,Travel,Train reservation,Cash
2025-04-30,430.96,Transport,Train ticket,Net Banking
2024-11-06,318.23,Others,Random expense,Credit Card
2025-02-08,2672.78,Entertainment,Movie ticket,Debit Card
2024-08-19,1627.69,Travel,Travel insurance,Net Banking
2024-06-12,2996.92,Shopping,New clothes,Net Banking
2024-11-12,1934.34,Entertainment,Netflix subscription,Cash
2024-08-06,4451.21,Health,Medical test,Cash
2025-04-16,4593.94,Transport,Uber ride,Net Banking
2025-03-02,1042.51,Shopping,Mobile accessories,UPI
2024-09-14,398.99,Utilities,Gas bill,Cash
2024-05-19,3743.78,Utilities,Internet recharge,UPI
2025-03-19,2517.61,Health,Medical test,Cash
2024-12-23,3361.87,Shopping,Gift shopping,Cash
2024-09-19,662.74,Shopping,Bought shoes,Credit Card
2024-05-17,2242.01,Utilities,Water bill,Debit Card
2024-11-19,4824.0,Food,Coffee at Starbucks,Net Banking
2024-11-06,2062.77,Food,Lunch at Subway,Cash
2024-12-20,1410.44,Utilities,Gas bill,Cash
2024-08-26,4852.89,Health,Doctor visit,UPI
2025-03-23,3458.65,Entertainment,Netflix subscription,Net Banking
2024-09-08,4846.31,Food,Groceries from Walmart,Net Banking
2025-03-09,2355.23,Utilities,Internet recharge,Debit Card
2024-09-24,241.63,Others,Stationery,Net Banking
2025-04-19,4039.55,Entertainment,Netflix subscription,UPI
2024-12-12,154.44,Others,Pet food,Debit Card
2024-06-29,3061.1,Others,Laundry,Cash
2025-01-01,3599.67,Food,Snacks from 7-Eleven,Credit Card
2024-12-11,2479.41,Education,Learning app subscription,Debit Card
2024-10-08,1143.28,Others,Laundry,UPI
2024-11-22,4403.91,Education,Learning app subscription,UPI
2025-03-19,1195.24,Food,Groceries from Walmart,Cash
2024-08-03,4492.4,Education,Tuition fee,Credit Card
2024-06-22,1571.84,Education,Tuition fee,Credit Card
2024-10-07,3294.47,Transport,Car maintenance,Debit Card
2024-06-25,4812.05,Entertainment,Movie ticket,Cash
2024-09-22,3624.51,Shopping,New clothes,UPI
2024-06-28,3923.39,Shopping,Bought shoes,Credit Card
2025-04-30,2968.8,Food,Snacks from 7-Eleven,Credit Card
2025-03-04,3537.56,Travel,Flight booking,Cash
2025-03-19,1702.44,Education,Learning app subscription,Net Banking
2024-11-24,4506.88,Transport,Car maintenance,Credit Card
2024-10-13,1831.81,Food,Coffee at Starbucks,Debit Card
2024-07-22,1758.01,Entertainment,Movie ticket,Debit Card
2024-05-20,2286.19,Utilities,Electricity bill,Debit Card
2024-07-21,4240.11,Shopping,New clothes,Debit Card
2024-08-28,692.37,Food,Snacks from 7-Eleven,UPI
2024-06-02,3862.47,Entertainment,Netflix subscription,Net Banking
2024-09-18,3638.51,Education,Exam registration,Net Banking
2025-04-15,1018.08,Utilities,Water bill,Cash
2025-03-31,2521.17,Entertainment,Movie ticket,Cash
2024-12-11,3682.18,Transport,Train ticket,Cash
2024-09-20,2547.71,Shopping,Bought shoes,Debit Card
2025-04-28,2371.39,Shopping,Bought shoes,Net Banking
2024-07-04,1406.12,Shopping,Mobile accessories,UPI
2024-06-24,3863.45,Shopping,Amazon order,Net Banking
2025-05-09,747.58,Entertainment,Game purchase,Credit Card
2024-11-20,920.58,Health,Pharmacy purchase,Debit Card
2024-06-12,3038.36,Entertainment,Netflix subscription,Cash
2024-06-24,2451.39,Transport,Bus fare,Debit Card
2024-09-05,459.33,Shopping,Bought shoes,Credit Card
2024-08-12,3701.53,Utilities,Water bill,Net Banking
2024-05-13,4375.93,Utilities,Electricity bill,Credit Card
2024-06-09,2050.69,Others,Laundry,Credit Card
2024-06-21,3133.21,Shopping,Amazon order,Net Banking
2025-01-29,400.59,Shopping,Amazon order,UPI
2025-04-27,4003.26,Utilities,Internet recharge,Net Banking
2024-06-26,4583.54,Food,Lunch at Subway,UPI
2024-11-09,4643.22,Others,Stationery,Net Banking
2024-05-19,3700.74,Transport,Uber ride,Debit Card
2024-12-29,1334.31,Others,Laundry,Net Banking
2024-11-10,3015.43,Others,Random expense,UPI
2024-11-02,1876.29,Health,Gym membership,Debit Card
2024-11-29,2614.98,Travel,Flight booking,UPI
2025-04-18,1367.83,Travel,Cab from airport,Net Banking
2025-03-02,4069.5,Transport,Gas refill,Debit Card
2024-07-28,4731.19,Others,Random expense,Net Banking
2024-08-15,2096.07,Travel,Train reservation,Credit Card
2025-04-29,2066.0,Shopping,Mobile accessories,Credit Card
2025-03-16,77.34,Education,Online course,UPI
2025-02-28,3860.87,Others,Laundry,UPI
2025-04-07,3555.92,Others,Stationery,UPI
2024-12-11,768.66,Entertainment,Concert ticket,Net Banking
2024-09-26,1530.74,Food,Snacks from 7-Eleven,Net Banking
2024-11-04,3953.07,Entertainment,Concert ticket,Cash
2025-02-05,4727.7,Utilities,Electricity bill,Cash
2024-09-28,2270.08,Entertainment,Netflix subscription,Cash
2024-10-12,1034.48,Entertainment,Spotify subscription,UPI
2025-03-23,1850.74,Travel,Cab from airport,UPI
2024-06-09,485.47,Shopping,New clothes,Cash
2025-04-22,3069.61,Others,Stationery,Debit Card
2024-07-29,4759.52,Education,Learning app subscription,Debit Card
2025-02-15,2625.01,Utilities,Water bill,Net Banking
2024-06-19,2063.35,Others,Pet food,Net Banking
2025-01-16,3017.5,Utilities,Water bill,Debit Card
2024-07-27,855.22,Travel,Cab from airport,Credit Card
2024-06-07,605.93,Utilities,Water bill,Debit Card
2024-09-27,4069.62,Health,Medical test,UPI
2025-04-20,3174.29,Transport,Bus fare,Credit Card
2025-03-19,209.74,Food,Lunch at Subway,UPI
2024-10-05,4427.29,Entertainment,Game purchase,Net Banking
2024-05-28,1833.53,Entertainment,Concert ticket,Credit Card
2024-12-11,132.6,Transport,Car maintenance,Debit Card
2025-01-13,2530.02,Health,Pharmacy purchase,Net Banking
2024-05-19,4799.12,Utilities,Internet recharge,Net Banking
2024-12-13,4012.85,Education,Book purchase,UPI
2024-10-30,2576.52,Utilities,Water bill,Cash
2025-02-12,890.01,Others,Laundry,Debit Card
2025-05-05,1370.07,Transport,Uber ride,Credit Card
2024-06-11,4283.09,Others,Laundry,Cash
2025-01-03,3190.94,Travel,Hotel stay,Credit Card
2024-05-21,2113.19,Entertainment,Concert ticket,Credit Card
2024-10-14,4499.97,Utilities,Gas bill,Cash
2024-09-10,449.6,Entertainment,Movie ticket,Cash
2024-07-12,1258.24,Entertainment,Game purchase,Debit Card
2024-10-11,3941.48,Others,Stationery,Debit Card
2024-12-20,2897.91,Education,Learning app subscription,Net Banking
2025-04-08,1826.49,Transport,Bus fare,Net Banking
2025-03-19,2250.0,Food,Lunch at Subway,Credit Card
2024-05-26,183.23,Education,Tuition fee,Credit Card
2024-08-31,4446.59,Transport,Uber ride,UPI
2024-08-22,663.47,Utilities,Electricity bill,Cash
2024-11-14,3084.98,Travel,Travel insurance,Cash
2024-09-27,4594.58,Food,Dinner at KFC,Debit Card
2024-06-26,1584.22,Education,Online course,UPI
2024-10-06,221.41,Health,Pharmacy purchase,Net Banking
2024-12-02,4106.32,Transport,Car maintenance,Credit Card
2025-01-23,3688.6,Food,Snacks from 7-Eleven,Credit Card
2024-07-11,1681.81,Health,Medical test,Debit Card
2024-08-14,3056.98,Entertainment,Game purchase,Credit Card
2025-02-03,3172.32,Utilities,Internet recharge,Cash
2025-04-16,319.4,Shopping,Amazon order,Net Banking
2024-10-22,1256.21,Food,Groceries from Walmart,Credit Card
2025-02-10,4150.35,Education,Book purchase,Credit Card
2025-03-15,2455.23,Transport,Gas refill,UPI
2025-01-03,1968.92,Education,Book purchase,UPI
2024-07-04,3884.49,Health,Doctor visit,Credit Card
2024-12-26,414.9,Utilities,Mobile bill,UPI
2024-07-10,162.54,Food,Snacks from 7-Eleven,Credit Card
2024-07-25,4528.32,Health,Doctor visit,Credit Card
2024-08-07,2496.07,Travel,Cab from airport,UPI
2024-10-06,2804.71,Utilities,Mobile bill,UPI
2025-05-03,3147.08,Entertainment,Spotify subscription,Credit Card
2025-04-19,642.08,Food,Lunch at Subway,Debit Card
2024-11-24,1586.05,Others,Laundry,Credit Card
2024-09-17,1213.65,Utilities,Water bill,UPI
2025-02-12,478.93,Entertainment,Game purchase,Cash
2024-12-27,2397.22,Entertainment,Spotify subscription,Credit Card
2024-05-25,1814.64,Education,Book purchase,Cash
2024-07-04,823.73,Others,Stationery,Net Banking
2024-11-22,1134.87,Shopping,Amazon order,Net Banking
2025-01-18,4748.8,Travel,Train reservation,Credit Card
2025-01-22,820.08,Utilities,Water bill,Net Banking
2024-10-26,4983.47,Shopping,Gift shopping,Credit Card
2024-06-12,4664.07,Health,Doctor visit,UPI
2024-12-02,3806.24,Education,Exam registration,Net Banking
2025-01-01,2922.9,Others,Stationery,Net Banking
2024-11-18,112.58,Shopping,Gift shopping,Cash
2024-11-04,1253.98,Travel,Flight booking,Debit Card
2024-11-25,3035.93,Health,Gym membership,Cash
2024-07-27,4201.69,Transport,Car maintenance,Debit Card
2024-07-12,4275.97,Shopping,Gift shopping,Net Banking
2024-10-13,2243.49,Food,Dinner at KFC,Net Banking
2024-06-12,3402.91,Entertainment,Netflix subscription,UPI
2024-10-15,4074.33,Entertainment,Game purchase,Net Banking
2025-01-11,2103.47,Education,Online course,Credit Card
2025-01-13,1754.11,Utilities,Gas bill,Cash
2025-02-10,4462.77,Health,Pharmacy purchase,Net Banking
2024-05-25,4605.73,Education,Learning app subscription,Net Banking
2025-01-27,497.18,Others,Random expense,Credit Card
2024-05-31,1822.28,Food,Coffee at Starbucks,UPI
2024-05-30,4872.23,Transport,Gas refill,Net Banking
2024-08-25,1495.31,Others,Stationery,Net Banking
2024-07-03,4879.35,Health,Gym membership,Net Banking
2025-04-24,2250.36,Health,Doctor visit,UPI
2025-03-09,586.64,Others,Charity donation,Cash
2024-07-29,4712.88,Travel,Train reservation,Cash
2025-03-11,1812.03,Education,Tuition fee,UPI
2025-01-30,4893.33,Others,Laundry,Debit Card
2025-05-08,3410.22,Travel,Flight booking,Net Banking
2025-04-16,87.01,Others,Charity donation,Debit Card
2025-01-19,1702.0,Transport,Gas refill,Net Banking
2024-12-31,1268.7,Education,Learning app subscription,Debit Card
2024-06-17,4528.11,Travel,Hotel stay,UPI
2024-08-13,691.85,Health,Health insurance,Net Banking
2024-09-23,545.56,Transport,Uber ride,UPI
2025-04-18,1586.9,Travel,Flight booking,Net Banking
2024-05-30,4561.52,Shopping,Gift shopping,Cash
2024-08-27,1115.69,Food,Snacks from 7-Eleven,Credit Card
2024-07-02,3726.41,Food,Coffee at Starbucks,Cash
2024-05-23,107.28,Health,Medical test,Debit Card
2024-05-15,322.18,Food,Lunch at Subway,Credit Card
2024-09-15,1277.66,Utilities,Gas bill,Net Banking
2025-01-21,1166.55,Travel,Hotel stay,Credit Card
2025-02-22,1990.36,Health,Gym membership,Net Banking
2024-05-20,937.62,Travel,Train reservation,Credit Card
2025-03-21,1635.23,Travel,Train reservation,Cash
2025-01-09,2346.49,Food,Coffee at Starbucks,UPI
2024-06-22,1075.61,Transport,Train ticket,UPI
2025-01-27,439.21,Transport,Gas refill,Net Banking
2024-08-22,671.0,Health,Medical test,Debit Card
2025-01-20,332.4,Health,Pharmacy purchase,Cash
2025-02-14,4178.35,Food,Snacks from 7-Eleven,Credit Card
2024-09-11,4051.55,Travel,Cab from airport,Debit Card
2024-12-03,1979.09,Others,Stationery,Debit Card
2025-04-19,3262.08,Transport,Uber ride,Net Banking
2024-08-01,886.57,Education,Exam registration,Credit Card
2024-10-05,945.9,Shopping,Amazon order,Debit Card
2024-06-11,4561.19,Transport,Uber ride,Debit Card
2024-08-05,2226.63,Health,Pharmacy purchase,Credit Card
2025-02-02,4089.33,Shopping,Amazon order,UPI
2025-04-26,1857.47,Others,Laundry,UPI
2024-09-23,3141.13,Utilities,Gas bill,Credit Card
2024-10-26,3735.85,Food,Snacks from 7-Eleven,Debit Card
2024-11-11,2256.49,Entertainment,Spotify subscription,Net Banking
2024-06-11,3618.65,Entertainment,Spotify subscription,Credit Card
2024-09-23,3447.36,Education,Book purchase,Credit Card
2025-05-06,4454.97,Others,Laundry,Cash
2024-07-03,2198.44,Utilities,Gas bill,Net Banking
2024-06-25,2690.65,Utilities,Gas bill,Debit Card
2024-10-14,4946.59,Utilities,Gas bill,Net Banking
2024-10-15,2888.13,Food,Dinner at KFC,Debit Card
2024-08-04,2692.52,Shopping,Gift shopping,Cash
2025-04-14,3974.36,Others,Random expense,Credit Card
2025-01-29,4776.26,Travel,Travel insurance,Credit Card
2024-07-05,634.13,Travel,Flight booking,Debit Card
2024-09-02,549.45,Others,Charity donation,Net Banking
2024-09-16,4615.77,Travel,Flight booking,UPI
